id,trailName,park,address,difficulty,length,createdAt,updatedAt
1, Trail 1 at Turkey Run,Turkey Run State Park,"8121 Park Rd, Marshall, IN 47859",Moderate,2.2,10/24/2019,10/24/2019
2,100 Acres Trails,,"1850 W 38th St, Indianapolis, IN 46208",Easy,1.5,10/24/2019,10/24/2019
3,Adena Trace Loop,Brookville Lake Recreation Area,"Scenic Dr, Brookville, IN 47012",Moderate,26.7,10/24/2019,10/24/2019
4,Adventure Hiking Trail,O'Bannon Woods State Park,"Corydon, Indiana 47112",Hard,21.7,10/24/2019,10/24/2019
5,Amy Weingartner Branigin Peninsula Preserve,,"7462 E Rush Ridge Rd, Bloomington, IN 47401",Moderate,2.1,10/24/2019,10/24/2019
6,Angel Mounds Loop Trail,Angel Mounds State Memorial,"Muskhogen Trail, Evansville, IN 47715",Easy,4,10/24/2019,10/24/2019
7,Axsom Branch Loop,Charles C. Deam Wilderness,"Hickory Ridge Lookout Tower, Tower Ridge Rd, Norman, IN 47264",Moderate,4.6,10/24/2019,10/24/2019
8,"Axsom Branch, Grubb Ridge Loop and Peninsula Trail",Charles C. Deam Wilderness,"Hickory Ridge Lookout Tower, Tower Ridge Rd, Norman, IN 47264",Moderate,15.4,10/24/2019,10/24/2019
9,B&O Trail,,"8934-8930 E County Rd 300 N, Brownsburg, IN 46112",Easy,12.3,10/24/2019,10/24/2019
10,Beach Trail to Waverly Beach,Indiana Dunes National Park,"Campground Gate, Chesterton, IN 46304",Easy,1,10/24/2019,10/24/2019
11,Bicentennial Woods Eagle Trail,Bicentennial Woods,"426 W Shoaff Rd, Huntertown, IN 46748",Easy,1.5,10/24/2019,10/24/2019
12,Birdseye Trail,,"1175 South E, Birdseye, IN 47513",Easy,4.5,10/24/2019,10/24/2019
13,Bloodroot Trail,Salamonie Lake,"Bloodroot Trail, Andrews, IN 46702",Moderate,14.2,10/24/2019,10/24/2019
14,Boat House Trails,Griffy Lake Nature Preserve,"3595 N Hinkle Rd, Bloomington, IN 47408",Moderate,1.8,10/24/2019,10/24/2019
15,Boot Lake Trail,,"Cleveland Township, Indiana 46514",Easy,2.2,10/24/2019,10/24/2019
16,Brown Country #9 Loop and Extension Trail,Brown County State Park,"Trail 9, Nashville, IN 47448",Moderate,7.4,10/24/2019,10/24/2019
17,Brown County State Park Trail #2,Brown County State Park,"Nashville, Indiana 47448",Moderate,2.2,10/24/2019,10/24/2019
18,Brown County State Park Trail #3,Brown County State Park,"Nashville, Indiana 47448",Easy,1.3,10/24/2019,10/24/2019
19,Brown County State Park Trail #4 Loop,Brown County State Park,"Park Ln, Nashville, IN 47448",Moderate,1.7,10/24/2019,10/24/2019
20,Brown County State Park Trail 8,Brown County State Park,"Trail 8, Nashville, IN 47448",Moderate,3.9,10/24/2019,10/24/2019
21,Buffalo Trace Trail,,"French Lick, Indiana 47432",Moderate,5.8,10/24/2019,10/24/2019
22,Buzzard Roost Trail,,"Cannelton, Indiana 47520",Moderate,0.9,10/24/2019,10/24/2019
23,Camp Creek and Fall Creek Trails Loop,Fort Harrison State Park,"Clark Rd, Indianapolis, IN 46216",Easy,2.5,10/24/2019,10/24/2019
24,Cascades Park Trail,Griffy Lake Nature Preserve,"112 W Club House Dr, Bloomington, IN 47404",Easy,0.8,10/24/2019,10/24/2019
25,Cataract Falls via ed Dailey Nature Trail,Cataract Falls State Recreation Area,"Upper Cataract Falls, Jennings Township, IN 47460",Easy,1.7,10/24/2019,10/24/2019
26,Central Canal Towpath,,"1616 30th St, Indianapolis, IN 46208",Easy,10.5,10/24/2019,10/24/2019
27,Chain O'Lakes Park Inside Loop,Chain O'Lakes State Park,"Albion, Indiana 46701",Easy,10.8,10/24/2019,10/24/2019
28,Charlestown State Park #1 Trail,Charlestown State Park,"Charlestown, Indiana 47111",Moderate,2.2,10/24/2019,10/24/2019
